participant_id,video_id,start_frame,stop_frame,verb_class,noun_class,all_noun_classes,start_timestamp,stop_timestamp,narration_id,action_class
P21-R04-ContinentalBreakfast,P21-R04-ContinentalBreakfast_291175-294945-F006979-F007088,6979,7088,0,0,0,,,P21-R04-ContinentalBreakfast-291175-294945-F006979-F007088,0
P21-R04-ContinentalBreakfast,P21-R04-ContinentalBreakfast_551908-569222-F013204-F013703,13204,13703,0,0,0,,,P21-R04-ContinentalBreakfast-551908-569222-F013204-F013703,0
P21-R04-ContinentalBreakfast,P21-R04-ContinentalBreakfast_647208-658969-F015504-F015844,15504,15844,0,0,0,,,P21-R04-ContinentalBreakfast-647208-658969-F015504-F015844,0
P21-R04-ContinentalBreakfast,P21-R04-ContinentalBreakfast_728518-735430-F017468-F017667,17468,17667,0,0,0,,,P21-R04-ContinentalBreakfast-728518-735430-F017468-F017667,0
P21-R04-ContinentalBreakfast,P21-R04-ContinentalBreakfast_770583-775263-F018482-F018618,18482,18618,0,0,0,,,P21-R04-ContinentalBreakfast-770583-775263-F018482-F018618,0
P21-R04-ContinentalBreakfast,P21-R04-ContinentalBreakfast_79222-82678-F001893-F001993,1893,1993,0,0,0,,,P21-R04-ContinentalBreakfast-79222-82678-F001893-F001993,0
P21-R05-Cheeseburger,P21-R05-Cheeseburger_101808-103978-F002438-F002501,2438,2501,0,0,0,,,P21-R05-Cheeseburger-101808-103978-F002438-F002501,0
P21-R05-Cheeseburger,P21-R05-Cheeseburger_125765-128010-F003013-F003078,3013,3078,0,0,0,,,P21-R05-Cheeseburger-125765-128010-F003013-F003078,0
P21-R05-Cheeseburger,P21-R05-Cheeseburger_175205-181773-F004188-F004379,4188,4379,0,0,0,,,P21-R05-Cheeseburger-175205-181773-F004188-F004379,0
P21-R05-Cheeseburger,P21-R05-Cheeseburger_225294-238593-F005375-F005759,5375,5759,0,0,0,,,P21-R05-Cheeseburger-225294-238593-F005375-F005759,0
P21-R05-Cheeseburger,P21-R05-Cheeseburger_331341-337541-F007937-F008116,7937,8116,0,0,0,,,P21-R05-Cheeseburger-331341-337541-F007937-F008116,0
P21-R05-Cheeseburger,P21-R05-Cheeseburger_43658-47022-F001039-F001137,1039,1137,0,0,0,,,P21-R05-Cheeseburger-43658-47022-F001039-F001137,0
P21-R05-Cheeseburger,P21-R05-Cheeseburger_505388-514824-F012107-F012378,12107,12378,0,0,0,,,P21-R05-Cheeseburger-505388-514824-F012107-F012378,0
P21-R06-GreekSalad,P21-R06-GreekSalad_1095063-1104635-F026258-F026535,26258,26535,0,0,0,,,P21-R06-GreekSalad-1095063-1104635-F026258-F026535,0
P21-R06-GreekSalad,P21-R06-GreekSalad_161579-166945-F003864-F004020,3864,4020,0,0,0,,,P21-R06-GreekSalad-161579-166945-F003864-F004020,0
P21-R06-GreekSalad,P21-R06-GreekSalad_237399-242175-F005686-F005824,5686,5824,0,0,0,,,P21-R06-GreekSalad-237399-242175-F005686-F005824,0
P21-R06-GreekSalad,P21-R06-GreekSalad_244128-249006-F005848-F005988,5848,5988,0,0,0,,,P21-R06-GreekSalad-244128-249006-F005848-F005988,0
P21-R06-GreekSalad,P21-R06-GreekSalad_441272-452771-F010563-F010894,10563,10894,0,0,0,,,P21-R06-GreekSalad-441272-452771-F010563-F010894,0
P21-R06-GreekSalad,P21-R06-GreekSalad_694203-702608-F016640-F016883,16640,16883,0,0,0,,,P21-R06-GreekSalad-694203-702608-F016640-F016883,0
P21-R06-GreekSalad,P21-R06-GreekSalad_769842-778312-F018456-F018700,18456,18700,0,0,0,,,P21-R06-GreekSalad-769842-778312-F018456-F018700,0
P21-R06-GreekSalad,P21-R06-GreekSalad_812348-819305-F019480-F019680,19480,19680,0,0,0,,,P21-R06-GreekSalad-812348-819305-F019480-F019680,0
P21-R06-GreekSalad,P21-R06-GreekSalad_833818-835192-F020008-F020048,20008,20048,0,0,0,,,P21-R06-GreekSalad-833818-835192-F020008-F020048,0
P21-R06-GreekSalad,P21-R06-GreekSalad_85400-90852-F002036-F002194,2036,2194,0,0,0,,,P21-R06-GreekSalad-85400-90852-F002036-F002194,0
P21-R06-GreekSalad,P21-R06-GreekSalad_899463-903560-F021577-F021696,21577,21696,0,0,0,,,P21-R06-GreekSalad-899463-903560-F021577-F021696,0
P22-R03-BaconAndEggs,P22-R03-BaconAndEggs_1026513-1054066-F024570-F025364,24570,25364,0,0,0,,,P22-R03-BaconAndEggs-1026513-1054066-F024570-F025364,0
P22-R03-BaconAndEggs,P22-R03-BaconAndEggs_1286751-1294817-F030863-F031095,30863,31095,0,0,0,,,P22-R03-BaconAndEggs-1286751-1294817-F030863-F031095,0
P22-R03-BaconAndEggs,P22-R03-BaconAndEggs_1584765-1589107-F038024-F038149,38024,38149,0,0,0,,,P22-R03-BaconAndEggs-1584765-1589107-F038024-F038149,0
P22-R03-BaconAndEggs,P22-R03-BaconAndEggs_1837787-1871470-F044025-F044997,44025,44997,0,0,0,,,P22-R03-BaconAndEggs-1837787-1871470-F044025-F044997,0
P22-R03-BaconAndEggs,P22-R03-BaconAndEggs_185100-199400-F004408-F004820,4408,4820,0,0,0,,,P22-R03-BaconAndEggs-185100-199400-F004408-F004820,0
P22-R03-BaconAndEggs,P22-R03-BaconAndEggs_1966419-1978700-F047165-F047518,47165,47518,0,0,0,,,P22-R03-BaconAndEggs-1966419-1978700-F047165-F047518,0
P22-R03-BaconAndEggs,P22-R03-BaconAndEggs_2492488-2497326-F059808-F059947,59808,59947,0,0,0,,,P22-R03-BaconAndEggs-2492488-2497326-F059808-F059947,0
P22-R03-BaconAndEggs,P22-R03-BaconAndEggs_2593828-2604130-F062226-F062525,62226,62525,0,0,0,,,P22-R03-BaconAndEggs-2593828-2604130-F062226-F062525,0
P22-R03-BaconAndEggs,P22-R03-BaconAndEggs_260231-266148-F006231-F006402,6231,6402,0,0,0,,,P22-R03-BaconAndEggs-260231-266148-F006231-F006402,0
P22-R03-BaconAndEggs,P22-R03-BaconAndEggs_318238-321711-F007629-F007730,7629,7730,0,0,0,,,P22-R03-BaconAndEggs-318238-321711-F007629-F007730,0
P22-R03-BaconAndEggs,P22-R03-BaconAndEggs_3221623-3236180-F077283-F077704,77283,77704,0,0,0,,,P22-R03-BaconAndEggs-3221623-3236180-F077283-F077704,0
P22-R03-BaconAndEggs,P22-R03-BaconAndEggs_392190-394442-F009407-F009472,9407,9472,0,0,0,,,P22-R03-BaconAndEggs-392190-394442-F009407-F009472,0
P22-R03-BaconAndEggs,P22-R03-BaconAndEggs_445698-450600-F010684-F010827,10684,10827,0,0,0,,,P22-R03-BaconAndEggs-445698-450600-F010684-F010827,0
