video=P01_20240202-110250 L23 all 16 heads | I_j mass [16 t x 256 spat] LINEAR only

head      TL0     TR15    BL240    BR255    other     c/o
   0    2.918    3.469    3.897    3.365    0.962    3.55
   1    3.006    3.529    5.404    4.609    0.950    4.35
   2    1.876    2.177    2.014    1.852    0.984    2.01
   3    3.442    4.213    6.502    5.517    0.938    5.24
   4    2.874    3.742    4.813    4.289    0.954    4.12
   5    2.523    2.476    3.935    3.585    0.966    3.24
   6    2.054    3.563    3.710    4.258    0.962    3.53
   7    1.133    1.408    1.226    1.845    0.994    1.41
   8    1.651    1.428    1.773    1.339    0.991    1.56
   9    2.939    3.266    5.155    4.203    0.954    4.08
  10    1.865    2.177    2.424    1.750    0.983    2.09
  11    3.231    3.419    4.281    3.501    0.959    3.76
  12    3.271    4.991    5.162    5.229    0.942    4.95
  13    1.656    1.855    2.085    1.618    0.987    1.83
  14    1.693    1.919    1.524    1.629    0.989    1.71
  15    1.468    1.443    2.581    1.390    0.989    1.74
