video=P01_20240202-110250 L23 frames=128 fps=8 dur≈16.0s slots=64 N=16384 | I_j [T x 256] LINEAR

head      TL0     TR15    BL240    BR255    other     c/o
   0    2.628    2.770    3.528    2.883    0.969    3.05
   1    3.875    3.537    6.371    5.031    0.941    5.00
   2    1.825    2.214    2.058    1.743    0.985    1.99
   3    3.860    3.231    6.707    4.458    0.943    4.84
   4    2.781    3.030    3.638    3.144    0.966    3.26
   5    2.327    1.985    3.536    2.668    0.974    2.70
   6    2.565    2.739    3.597    3.330    0.967    3.16
   7    1.257    1.144    1.463    1.613    0.994    1.38
   8    1.719    1.863    1.584    1.287    0.990    1.63
   9    3.718    2.858    4.847    3.377    0.957    3.87
  10    1.459    1.610    2.361    1.717    0.988    1.81
  11    2.680    2.558    3.761    2.882    0.969    3.07
  12    4.103    3.998    5.529    4.441    0.944    4.79
  13    1.513    1.873    2.120    1.895    0.987    1.88
  14    1.507    1.783    1.864    1.477    0.990    1.68
  15    1.174    1.212    1.900    1.213    0.994    1.38
