run,itr,loss,acc_a,acc_v,acc_n,rec_a,rec_v,rec_n
kvrope112,0,9.0,0.0,50.0,50.0,100.0,50.0,50.0
kvrope112,10,17.0,9.1,54.5,22.7,16.7,43.2,17.8
kvrope112,20,14.3125,9.5,47.6,28.6,17.9,34.7,32.5
kvrope112,30,11.5,11.3,46.8,32.3,20.9,30.1,37.2
kvrope112,40,11.9375,14.6,45.1,36.6,19.3,27.8,36.1
kvrope112,50,14.0,14.7,45.1,37.3,18.2,27.6,32.2
kvrope112,60,14.0625,15.6,44.3,36.9,16.7,29.6,30.7
kvrope112,70,12.125,15.5,46.5,37.3,15.0,31.2,31.6
kvrope112,80,8.4375,16.7,48.8,36.4,14.7,28.5,29.6
kvrope112,90,10.75,18.1,49.5,37.4,15.4,25.8,29.7
kvrope112,100,13.375,17.8,48.5,37.1,14.8,24.9,28.8
kvrope112,110,11.75,18.9,50.5,38.7,14.3,24.8,27.2
kvmatch112,250,16.5,0.0,50.0,0.0,0.0,50.0,0.0
kvmatch112,260,15.6875,18.2,45.5,27.3,20.0,38.3,31.5
kvmatch112,270,9.0,16.7,52.4,31.0,20.7,33.8,32.5
kvmatch112,280,9.75,16.1,48.4,33.9,19.8,33.7,30.1
kvmatch112,290,10.0,17.1,50.0,37.8,19.8,33.0,32.3
kvmatch112,300,15.25,15.7,49.0,39.2,19.4,36.4,34.3
kvmatch112,310,12.25,17.2,47.5,41.0,20.9,31.8,37.2
kvmatch112,320,13.0,17.6,47.2,40.8,21.1,30.0,36.0
kvmatch112,330,12.0625,18.5,48.8,42.0,20.0,30.6,36.5
kvmatch112,340,9.5,19.2,48.4,40.7,18.9,29.2,33.2
kvmatch112,350,17.0,18.3,49.0,38.6,18.5,28.2,32.1
kvmatch112,360,11.75,17.1,50.0,36.9,17.2,27.7,30.3
kvmatch112,370,10.0,17.4,50.4,36.4,18.1,27.9,29.4
kvmatch112,380,9.6875,16.4,50.4,35.1,17.1,25.0,28.4
kvmatch112,390,11.1875,17.0,49.3,34.8,17.2,23.7,28.7
kvmatch112,400,10.9375,17.2,49.7,35.1,17.4,22.8,28.4
kvmatch112,410,17.0,17.1,49.7,33.9,16.6,21.8,28.0
kvmatch112,420,9.625,17.0,49.7,34.2,16.6,22.7,27.5
kvmatch112,430,7.4062,17.4,49.4,34.0,15.8,21.6,26.9
kvmatch112,440,6.1562,17.8,50.0,34.6,15.3,21.4,26.8
kvmatch112,450,9.6875,18.2,50.7,35.1,14.8,22.9,27.3
kvmatch112,460,16.0,18.2,50.9,34.8,14.8,22.7,26.6
kvmatch112,470,9.9375,18.1,51.1,34.8,14.6,22.5,26.5
kvmatch112,480,10.5,18.6,50.9,34.8,14.9,24.9,25.7
kvmatch112,490,16.25,18.0,50.8,35.5,13.8,24.9,26.6
kvmatch112,500,4.25,18.1,50.8,35.9,13.5,25.0,26.7
