run,itr,loss,acc_a,acc_v,acc_n,rec_a,rec_v,rec_n,log_src
kvmatch112,0,8.5625,0.0,50.0,50.0,100.0,50.0,100.0,kvmatch_18446672.out
kvmatch112,10,17.75,9.1,59.1,22.7,21.4,45.5,21.1,kvmatch_18446672.out
kvmatch112,20,14.375,11.9,50.0,31.0,17.9,35.8,34.1,kvmatch_18446672.out
kvmatch112,30,11.8125,12.9,46.8,32.3,20.9,32.9,42.0,kvmatch_18446672.out
kvmatch112,40,12.0,14.6,43.9,37.8,18.5,30.0,40.2,kvmatch_18446672.out
kvmatch112,50,14.1875,13.7,44.1,36.3,17.6,28.5,33.8,kvmatch_18446672.out
kvmatch112,60,14.125,14.8,41.8,34.4,16.1,28.7,32.4,kvmatch_18446672.out
kvmatch112,70,12.0,14.8,44.4,34.5,14.1,31.0,33.0,kvmatch_18446672.out
kvmatch112,80,8.875,14.8,46.9,35.2,13.6,28.5,30.5,kvmatch_18446672.out
kvmatch112,90,10.4375,15.9,47.8,36.3,14.6,25.7,30.6,kvmatch_18446672.out
kvmatch112,100,14.0,15.3,47.0,35.6,13.7,24.9,29.0,kvmatch_18446672.out
kvmatch112,110,11.75,16.7,49.1,36.9,13.3,24.7,27.4,kvmatch_18446672.out
kvmatch112,120,9.8125,17.4,51.2,36.8,13.5,27.7,29.3,kvmatch_18446672.out
kvmatch112,130,11.0,17.6,51.5,36.6,14.0,26.7,29.6,kvmatch_18446672.out
kvmatch112,140,10.25,17.4,52.1,36.9,13.4,26.6,28.0,kvmatch_18446672.out
kvmatch112,150,13.75,18.2,52.6,37.1,14.1,27.9,27.9,kvmatch_18446672.out
kvmatch112,160,11.0625,18.0,53.4,37.9,14.6,27.3,28.5,kvmatch_18446672.out
kvmatch112,170,7.125,19.0,53.5,38.6,14.4,26.4,29.6,kvmatch_18446672.out
kvmatch112,180,20.25,19.6,53.3,39.0,14.3,26.1,29.7,kvmatch_18446672.out
kvmatch112,190,11.125,18.8,53.4,38.5,13.4,26.6,29.8,kvmatch_18446672.out
kvmatch112,200,12.3125,18.4,54.2,37.6,12.6,26.6,27.9,kvmatch_18446672.out
kvmatch112,210,11.375,18.0,54.0,36.7,12.1,25.1,27.1,kvmatch_18446672.out
