kernel,launches_per_tick,launch_ms,device_ms,total_ms,flops,bytes,AI_flop_per_byte,BW_eff_GBs,Compute_eff_GFLOPs,BW_util,FLOP_util,bound
sdpa_cross_rows,3,0.0217,5.0589,5.0807,28189624,107273216,0.2628,21.205,5.572,0.007179,0.00013188,latency-bound (low util)
sdpa_rows,1,0.0073,4.1523,4.1596,26493952,100794368,0.2629,24.274,6.381,0.008218,0.000151,latency-bound (low util)
topk_indices_row,1,0.0074,1.3385,1.3458,34816,16448,2.1167,0.012,0.026,4e-06,6.2e-07,latency-bound (low util)
softmax_rows,16,0.1194,0.5956,0.715,327680,1048576,0.3125,1.76,0.55,0.000596,1.302e-05,latency-bound (low util)
qk_logits_chunk,16,0.12,0.4892,0.6092,8454144,33816576,0.25,69.128,17.282,0.023403,0.000409,latency-bound (low util)
gemm_nn,30,0.2206,0.2499,0.4704,34724736,138898944,0.25,555.846,138.961,0.18818,0.00328874,memory-bound
reduce_chunk_to_imp,16,0.1189,0.0605,0.1793,65536,294912,0.2222,4.875,1.083,0.001651,2.564e-05,latency-bound (low util)
d2d_copy_fuse,17,0.1239,0.0569,0.1809,0,1240064,0.0,21.782,0.0,0.007374,0.0,memory-bound
layernorm_rows,1,0.007,0.0375,0.0445,131840,393216,0.3353,10.489,3.517,0.003551,8.323e-05,latency-bound (low util)
l2_normalize_rows,1,0.0075,0.0232,0.0307,49408,196608,0.2513,8.469,2.128,0.002867,5.037e-05,latency-bound (low util)
rope_apply,1,0.0072,0.0217,0.0289,90112,200704,0.449,9.244,4.151,0.00313,9.823e-05,latency-bound (low util)
gelu,4,0.0298,0.0125,0.0423,408320,326656,1.25,26.078,32.598,0.008829,0.00077148,latency-bound (low util)
gated_residual,3,0.0221,0.0101,0.0322,122240,391168,0.3125,38.816,12.13,0.013141,0.00028707,latency-bound (low util)
residual_add,3,0.0224,0.0095,0.0319,24448,293376,0.0833,30.768,2.564,0.010417,6.068e-05,latency-bound (low util)
d2d_copy_Q,1,0.0072,0.0037,0.0108,0,131072,0.0,35.773,0.0,0.012111,0.0,memory-bound
gather_tokens,1,0.0075,0.0033,0.0108,0,8256,0.0,2.53,0.0,0.000857,0.0,memory-bound
d2d_zero_imp,1,0.0073,0.0032,0.0105,0,2048,0.0,0.65,0.0,0.00022,0.0,memory-bound
recency_reweight,1,0.0074,0.0031,0.0105,768,3072,0.25,0.98,0.245,0.000332,5.8e-06,latency-bound (low util)
fill_recency,1,0.0074,0.003,0.0104,512,1024,0.5,0.34,0.17,0.000115,4.03e-06,latency-bound (low util)
